LotArea,Neighborhood,HouseStyle,OverallCond,YearBuilt,Exterior1st,GarageCars,TotRmsAbvGrd,SaleType,MSZoning,SalePrice
8450,CollgCr,2Story,5,2003,VinylSd,2,8,WD,RL,208500
9600,Veenker,1Story,8,1976,MetalSd,2,6,WD,RL,181500
11250,CollgCr,2Story,5,2001,VinylSd,2,6,WD,RL,223500
14260,NoRidge,2Story,5,2000,VinylSd,3,9,WD,RL,250000
14115,Mitchel,1.5Fin,5,1993,VinylSd,2,5,WD,RL,143000
10084,Somerst,1Story,5,2004,VinylSd,2,7,WD,RL,307000
10382,NWAmes,2Story,6,1973,HdBoard,2,7,WD,RL,200000
6120,OldTown,1.5Fin,5,1931,BrkFace,2,8,WD,RM,129900
7420,BrkSide,1.5Unf,6,1939,MetalSd,1,5,WD,RL,118000
11200,Sawyer,1Story,5,1965,HdBoard,1,5,WD,RL,129500
11924,NridgHt,2Story,5,2005,WdShing,3,11,New,RL,345000
10652,CollgCr,1Story,5,2006,VinylSd,3,7,New,RL,279500
11241,NAmes,1Story,7,1970,Wd Sdng,2,5,WD,RL,149000
10791,Sawyer,1Story,5,1967,MetalSd,2,6,WD,RL,90000
13695,SawyerW,1Story,5,2004,VinylSd,2,6,WD,RL,159000
7560,NAmes,1Story,6,1958,BrkFace,1,6,COD,RL,139000
14215,NridgHt,2Story,5,2005,VinylSd,3,9,New,RL,325300
9742,CollgCr,1Story,5,2002,VinylSd,2,7,WD,RL,230000
4224,MeadowV,1Story,7,1976,CemntBd,2,6,WD,RM,129900
8246,Sawyer,1Story,8,1968,Plywood,1,6,WD,RL,154000
14230,NridgHt,1Story,5,2007,VinylSd,3,7,WD,RL,256300
16321,NAmes,1Story,6,1957,MetalSd,1,6,WD,RL,207500
6324,BrkSide,1Story,6,1927,MetalSd,1,4,WD,RM,68500
8500,IDOTRR,2Story,4,1920,BrkFace,1,6,WD,C (all),40000
8544,Sawyer,1Story,6,1966,HdBoard,1,6,WD,RL,149350
11049,CollgCr,1Story,5,2007,VinylSd,2,7,WD,RL,179900
10552,NAmes,1Story,5,1959,BrkFace,2,6,WD,RL,165500
10859,CollgCr,1Story,5,1994,VinylSd,2,6,WD,RL,145000
8532,NAmes,1Story,6,1954,Wd Sdng,2,5,WD,RL,153000
6040,Edwards,1Story,5,1955,AsbShng,0,6,WD,RL,82000
8658,NAmes,1Story,5,1965,Wd Sdng,2,6,WD,RL,160000
16905,Timber,1Story,6,1959,VinylSd,1,5,WD,RL,170000
9200,CollgCr,1Story,6,1975,VinylSd,1,5,WD,RL,130250
7945,NAmes,1Story,6,1959,BrkFace,1,6,WD,RL,141000
12822,Mitchel,1.5Fin,5,2003,VinylSd,2,6,WD,RL,239686
7742,Sawyer,1Story,7,1966,HdBoard,1,6,WD,RL,127000
13869,Gilbert,2Story,6,1997,VinylSd,2,6,WD,RL,177000
8472,IDOTRR,1Story,5,1963,Wd Sdng,2,5,WD,RM,110000
50271,Veenker,1Story,5,1981,WdShing,3,5,WD,RL,385000
7134,NAmes,SLvl,5,1955,MetalSd,2,6,WD,RL,130000
2645,Somerst,2Story,5,1999,MetalSd,2,7,WD,FV,172500
11645,CollgCr,2Story,5,2004,VinylSd,2,7,WD,RL,196500
13682,StoneBr,2Story,5,2006,VinylSd,3,10,New,RL,438780
7200,IDOTRR,2.5Unf,7,1920,MetalSd,1,6,WD,RM,101000
10300,OldTown,2Story,6,1921,Stucco,2,9,WD,RM,140000
9375,CollgCr,2Story,5,1997,VinylSd,2,8,WD,RL,219500
9591,NridgHt,2Story,5,2004,VinylSd,3,9,WD,RL,317000
19900,NAmes,1Story,5,1970,Plywood,2,7,WD,RL,180000
10665,CollgCr,1Story,5,2003,VinylSd,2,7,WD,RL,226000
15593,ClearCr,1.5Fin,4,1953,BrkFace,2,7,WD,RL,225000
13651,NAmes,1Story,6,1973,Plywood,2,8,WD,RL,244000
7599,Mitchel,1Story,6,1982,HdBoard,2,4,WD,RL,129500
10141,Gilbert,2Story,5,1998,VinylSd,2,7,WD,RL,185000
10200,NAmes,1Story,7,1954,Wd Sdng,2,6,WD,RL,144900
10440,OldTown,2Story,6,1910,Wd Sdng,2,5,WD,RM,110000
13000,NAmes,2Story,6,1968,VinylSd,1,8,WD,RL,193500
4500,Mitchel,1Story,5,1998,VinylSd,2,5,WD,RM,153500
8892,NAmes,1Story,5,1960,MetalSd,2,6,COD,RL,126500
8530,Gilbert,SLvl,5,1995,HdBoard,2,7,WD,RL,168500
16059,NoRidge,2Story,5,1991,HdBoard,2,9,WD,RL,260000
3951,Somerst,2Story,5,2009,VinylSd,2,4,New,FV,164500
8470,IDOTRR,1.5Fin,2,1915,Plywood,0,6,ConLD,C (all),85000
8070,CollgCr,1Story,5,1994,VinylSd,0,5,WD,RL,123600
7200,NAmes,1Story,5,1950,BrkFace,2,4,WD,RL,109900
8500,NAmes,1Story,3,1961,HdBoard,2,6,WD,RL,98600
7200,OldTown,2.5Unf,6,1910,MetalSd,2,9,WD,C (all),133900
9765,Gilbert,2Story,8,1993,VinylSd,2,6,WD,RL,185000
10264,CollgCr,1Story,5,1999,VinylSd,2,6,WD,RL,214000
10625,Edwards,1Story,5,1920,Wd Sdng,1,5,COD,RL,83000
10603,NWAmes,1Story,7,1977,Plywood,2,6,WD,RL,205000
9206,SawyerW,2Story,5,1985,HdBoard,2,7,WD,RL,178000
7018,SawyerW,1Story,5,1979,HdBoard,2,8,WD,RL,118964
10402,CollgCr,1Story,5,2009,VinylSd,3,6,WD,RL,198900
7758,IDOTRR,1.5Fin,4,1931,Stucco,1,7,WD,RM,169500
9375,Somerst,2Story,5,2003,VinylSd,2,9,WD,FV,250000
10800,OldTown,1Story,7,1885,VinylSd,1,6,WD,RM,100000
6000,OldTown,1Story,5,1948,VinylSd,1,5,WD,RM,115000
8500,IDOTRR,1.5Fin,7,1919,CemntBd,0,7,WD,RM,115000
9525,Edwards,1.5Fin,4,1954,Wd Sdng,1,7,WD,RL,136900
7750,Gilbert,SLvl,5,2000,VinylSd,2,7,WD,RL,180000
21000,Crawfor,1Story,5,1953,Wd Sdng,2,7,COD,RL,217000
7259,Crawfor,2Story,8,1945,Wd Sdng,1,9,WD,RL,259500
11616,Sawyer,1Story,5,1962,Wd Sdng,1,6,WD,RL,139000
12376,SawyerW,2Story,5,1990,Plywood,3,11,WD,RL,320000
8461,CollgCr,2Story,5,2005,VinylSd,2,8,New,RL,163990
21453,ClearCr,SLvl,5,1969,Plywood,2,4,WD,RL,180000
6060,IDOTRR,1.5Fin,5,1939,AsbShng,1,4,WD,RM,100000
7892,SawyerW,1Story,5,1993,Plywood,2,5,WD,RL,153900
6780,IDOTRR,1.5Fin,8,1935,Wd Sdng,0,5,WD,RM,84500
8973,NAmes,1Story,7,1958,Plywood,2,6,WD,RL,150000
14200,NAmes,2Story,6,1966,MetalSd,2,8,WD,RL,226000
6853,Timber,1Story,5,2001,VinylSd,2,6,WD,RL,220000
10335,Sawyer,1Story,6,1968,Plywood,2,7,WD,RL,180000
10400,NWAmes,1Story,6,1970,Plywood,2,7,WD,RL,174000
10355,NAmes,1Story,5,1967,MetalSd,1,5,WD,RL,143000
9066,CollgCr,2Story,5,1999,VinylSd,3,7,WD,RL,230000
15426,CollgCr,2Story,5,1997,VinylSd,2,7,WD,RL,231500
11645,CollgCr,1Story,5,2005,VinylSd,2,7,WD,RL,260000
10335,CollgCr,1Story,5,1999,VinylSd,2,6,WD,RL,204000
9100,Sawyer,1Story,5,1963,HdBoard,2,10,ConLI,RM,125000
2522,Edwards,2Story,5,2004,VinylSd,2,7,WD,RM,130000
7500,SawyerW,1Story,5,2004,VinylSd,0,6,WD,RL,141000
6240,BrkSide,1.5Fin,4,1936,MetalSd,1,7,WD,RM,115000
14803,NWAmes,2Story,5,1971,HdBoard,2,8,WD,RL,190000
13500,ClearCr,1Story,7,1960,BrkFace,2,4,WD,RL,235000
9600,Edwards,1.5Fin,5,1924,Wd Sdng,0,5,WD,RL,79000
12003,Timber,2Story,5,2009,VinylSd,3,8,New,RL,269500
12552,Somerst,2Story,5,2004,VinylSd,2,8,WD,FV,254900
19378,Gilbert,2Story,5,2005,VinylSd,2,9,New,RL,320000
13688,NridgHt,2Story,5,2003,VinylSd,3,10,WD,RL,412500
12182,NridgHt,1Story,5,2005,VinylSd,2,7,New,RL,220000
5500,OldTown,1.5Unf,6,1956,MetalSd,0,4,WD,RL,103200
5400,OldTown,1Story,7,1926,MetalSd,1,5,WD,RM,152000
10708,ClearCr,1Story,5,1955,Wd Sdng,1,7,COD,RL,190000
10562,NridgHt,2Story,5,2007,VinylSd,3,8,New,RL,325624
8244,Gilbert,2Story,5,2004,VinylSd,2,7,WD,RL,183500
16669,Timber,1Story,6,1981,Plywood,2,6,WD,RL,228000
12358,OldTown,1.5Fin,6,1941,MetalSd,2,7,WD,RM,128500
31770,NAmes,1Story,5,1960,BrkFace,2,7,WD,RL,215000
12416,Timber,1Story,5,1986,VinylSd,2,7,WD,RL,184000
12615,Edwards,1Story,7,1950,WdShing,2,7,WD,RL,243000
2117,Somerst,2Story,5,2000,MetalSd,2,5,WD,FV,177000
11426,OldTown,1.5Fin,5,2003,VinylSd,2,6,WD,RM,200000
7438,BrkSide,1.5Fin,8,1908,AsbShng,2,5,WD,RL,127000
22950,OldTown,2.5Fin,9,1892,Wd Sdng,3,12,WD,RM,475000
9947,Mitchel,SLvl,5,1990,HdBoard,2,6,WD,RL,173000
4923,StoneBr,1Story,5,2001,CemntBd,2,5,WD,RL,286000
10570,Crawfor,2Story,8,1932,BrkFace,2,10,WD,RL,315000
7472,NAmes,2Story,9,1972,HdBoard,2,7,WD,RL,184000
2522,Edwards,2Story,5,2004,VinylSd,2,7,WD,RM,130000
7180,CollgCr,1Story,7,1972,HdBoard,1,5,WD,RL,127000
2280,NPkVill,2Story,6,1976,Plywood,2,7,WD,RL,148500
5520,OldTown,2.5Fin,6,1912,Wd Sdng,0,8,WD,RM,104000
10125,Mitchel,1Story,6,1977,Plywood,2,6,WD,RL,171500
7000,OldTown,1.5Fin,6,1924,MetalSd,1,6,COD,RL,112000
4438,CollgCr,1Story,5,2004,VinylSd,2,3,WD,RM,149000
3500,OldTown,1.5Fin,7,1947,AsbShng,1,5,WD,RM,110000
11851,Gilbert,1Story,5,1990,HdBoard,2,5,WD,RL,180500
13673,Sawyer,1Story,5,1962,HdBoard,1,8,WD,RL,143900
12493,NAmes,1Story,5,1960,Wd Sdng,1,6,WD,RL,141000
14364,SawyerW,2Story,5,1988,Plywood,2,7,WD,RL,277000
8250,NAmes,1Story,7,1964,HdBoard,2,6,WD,RL,145000
5604,Edwards,1Story,6,1925,Stucco,0,5,WD,RL,98000
10420,Edwards,1Story,5,2009,VinylSd,2,6,WD,RL,186000
8640,Somerst,2Story,5,2009,VinylSd,2,7,New,FV,252678
10011,NAmes,1Story,6,1957,HdBoard,1,6,WD,RL,134450
8450,CollgCr,1Story,5,2004,VinylSd,2,8,WD,RL,210000
9906,OldTown,2Story,4,1925,MetalSd,1,8,WD,RM,107000
15660,Crawfor,1.5Fin,9,1939,VinylSd,2,8,WD,RL,311500
3010,Blmngtn,1Story,5,2005,VinylSd,2,5,New,RL,167240
8990,CollgCr,1Story,5,2006,VinylSd,2,5,New,RL,204900
11475,NWAmes,2Story,6,1975,VinylSd,2,6,WD,RL,179900
13472,NridgHt,1Story,5,2003,VinylSd,3,8,WD,RL,386250
1680,BrDale,2Story,5,1971,HdBoard,1,6,COD,RM,112000
8521,Sawyer,1Story,5,1967,HdBoard,1,5,WD,RL,125000
3182,Blmngtn,1Story,5,2005,VinylSd,2,7,WD,RL,192500
15138,NoRidge,2Story,5,1995,VinylSd,3,9,WD,RL,403000
1680,BrDale,2Story,5,1972,HdBoard,1,5,WD,RM,94500
10650,CollgCr,1Story,6,1976,HdBoard,1,5,WD,RL,128200
7851,Gilbert,2Story,5,2002,VinylSd,2,8,WD,RL,216500
1680,BrDale,2Story,3,1971,HdBoard,1,5,WD,RM,89500
9453,SawyerW,2Story,7,1993,HdBoard,2,7,WD,RL,194500
12030,NridgHt,1Story,5,2007,VinylSd,3,7,New,RL,318000
8741,Edwards,1.5Fin,4,1945,VinylSd,1,7,WD,RL,113000
3880,OldTown,1Story,9,1945,VinylSd,0,4,WD,RM,110500
5000,OldTown,1.5Fin,4,1900,Wd Sdng,1,6,WD,RM,79000
10762,SawyerW,2Story,6,1980,Plywood,1,6,WD,RL,120000
8880,SawyerW,2Story,5,1994,VinylSd,2,8,WD,RL,205000
9142,OldTown,2Story,8,1910,AsbShng,1,9,WD,RM,137000
11310,NAmes,1Story,5,1954,Wd Sdng,2,5,WD,RL,140000
11317,CollgCr,2Story,5,2003,VinylSd,2,8,WD,RL,180000
5350,BrkSide,1Story,2,1940,Wd Sdng,0,6,WD,RL,76500
8366,SawyerW,2Story,5,2004,VinylSd,2,6,WD,RL,173000
9350,NAmes,SLvl,7,1964,HdBoard,1,7,CWD,RL,158000
8400,NAmes,1Story,6,1957,MetalSd,1,5,WD,RL,145000
8738,Gilbert,2Story,5,1999,VinylSd,2,8,WD,RL,230000
8791,Somerst,2Story,5,2003,VinylSd,2,7,WD,FV,207500
19296,NAmes,SLvl,5,1962,Wd Sdng,2,6,WD,RL,176000
8471,Sawyer,SLvl,7,1977,HdBoard,2,6,WD,RL,151000
5500,OldTown,1.5Fin,7,1929,Wd Sdng,2,6,WD,RM,130000
12090,NWAmes,1Story,6,1981,MetalSd,2,7,WD,RL,175500
11207,Gilbert,2Story,5,1997,VinylSd,2,8,WD,RL,185000
6900,IDOTRR,1Story,6,1940,VinylSd,1,4,WD,RM,120500
7917,Edwards,1Story,7,1976,HdBoard,1,6,WD,RL,148000
39104,ClearCr,1Story,7,1954,Plywood,2,5,WD,RL,241500
11764,NoRidge,2Story,7,1999,VinylSd,3,9,WD,RL,290000
9600,NAmes,1Story,6,1958,Wd Sdng,1,6,WD,RL,139000
8314,Mitchel,1Story,7,1982,HdBoard,1,5,WD,RL,124500
7264,BrkSide,1.5Fin,7,1925,Wd Sdng,2,5,WD,RL,205000
14450,NridgHt,1Story,5,2006,CemntBd,3,8,New,RL,415298
10005,ClearCr,2Story,5,1977,Plywood,2,8,WD,RL,192000
11287,SawyerW,2Story,6,1989,Plywood,2,7,WD,RL,228500
7200,Somerst,1Story,5,2006,VinylSd,2,5,New,FV,185000
5063,NridgHt,1Story,5,2007,VinylSd,2,6,ConLw,RL,207500
9612,Somerst,1Story,5,2008,VinylSd,3,6,New,RL,244600
8012,SawyerW,1Story,5,1992,Plywood,2,5,WD,RL,179200
4251,Somerst,2Story,5,2006,MetalSd,2,5,New,FV,164700
9786,NAmes,1.5Fin,7,1962,Wd Sdng,2,7,WD,RL,159000
9819,Sawyer,1Story,5,1967,MetalSd,1,5,WD,RL,122000
8730,BrkSide,2Story,7,1915,Wd Sdng,1,7,WD,RL,153575
5687,SWISU,2Story,6,1912,VinylSd,0,9,WD,RL,135900
11409,Edwards,1.5Fin,4,1949,Wd Sdng,1,8,WD,RL,131000
9600,NAmes,1Story,5,1953,HdBoard,2,7,WD,RL,167000
7937,Mitchel,SLvl,6,1984,HdBoard,2,6,WD,RL,142500
13710,IDOTRR,1.5Fin,5,1950,Wd Sdng,1,6,WD,RM,152000
11700,NWAmes,2Story,6,1968,HdBoard,2,7,WD,RL,175000
13704,CollgCr,1Story,5,2001,VinylSd,3,6,WD,RL,205000
9800,CollgCr,1Story,7,1972,VinylSd,2,5,WD,RL,149900
10386,CollgCr,1Story,5,2004,CemntBd,3,8,WD,RL,305900
13474,SawyerW,2Story,5,1990,HdBoard,3,8,WD,RL,225000
7920,IDOTRR,1.5Fin,7,1920,MetalSd,0,6,WD,RM,89500
12342,Edwards,1Story,5,1940,VinylSd,2,4,WD,RL,82500
12378,NridgHt,1Story,5,2003,VinylSd,3,8,WD,RL,360000
7685,Gilbert,2Story,5,1993,HdBoard,2,6,WD,RL,165600
7800,OldTown,1.5Fin,7,1939,MetalSd,2,5,WD,RM,119900
9600,OldTown,2Story,7,1925,Wd Sdng,2,6,WD,RM,178000
9900,NoRidge,2Story,5,1993,HdBoard,3,9,WD,RL,260000
12099,NridgHt,2Story,5,2004,VinylSd,3,10,WD,RL,354000
10380,SawyerW,2Story,5,1986,Plywood,2,8,WD,RL,301000
5820,OldTown,1Story,8,1955,VinylSd,1,6,WD,RM,126175
11275,NAmes,SLvl,7,1967,Wd Sdng,2,11,WD,RL,242000
5000,IDOTRR,1.5Unf,6,1941,MetalSd,2,5,WD,RM,87000
10846,Veenker,1Story,5,1993,BrkFace,2,6,Con,RL,324000
11600,NAmes,1Story,5,1960,Wd Sdng,1,7,WD,RL,145250
11888,BrkSide,2.5Unf,6,1916,Wd Sdng,2,10,WD,RL,214500
10624,NAmes,1Story,4,1964,HdBoard,1,10,WD,RL,119000
10655,NridgHt,1Story,5,2003,VinylSd,3,7,WD,RL,284000
164660,Timber,1.5Fin,6,1965,Plywood,2,7,WD,RL,228950
14157,StoneBr,1Story,5,2005,VinylSd,3,8,WD,RL,377426
9135,CollgCr,1Story,5,2002,VinylSd,2,7,WD,RL,214000
14145,NWAmes,1Story,7,1984,Wd Sdng,2,8,WD,RL,202500
12400,NAmes,1Story,7,1958,Wd Sdng,1,6,WD,RL,155000
14191,Timber,2Story,5,2002,VinylSd,2,9,WD,RL,202900
8400,SawyerW,1Story,4,1950,Wd Sdng,1,4,WD,RH,82000
8544,NAmes,1Story,4,1949,Stucco,2,6,WD,RL,87500
8849,NridgHt,1Story,5,2005,MetalSd,2,6,WD,RL,266000
12772,NAmes,1Story,8,1960,MetalSd,1,5,WD,RL,151500
17600,NAmes,1Story,5,1960,Wd Sdng,2,6,WD,RL,157500
2448,NridgHt,2Story,5,2003,VinylSd,2,6,WD,RL,154000
7820,NridgHt,1Story,5,2007,MetalSd,2,6,New,RL,318061
5271,ClearCr,1Story,5,1986,Wd Sdng,2,6,WD,RL,190000
9084,Edwards,1.5Fin,6,1941,VinylSd,1,5,ConLw,RL,95000
8520,OldTown,1Story,8,1928,VinylSd,2,5,WD,RM,105900
8400,SWISU,1.5Fin,5,1940,Wd Sdng,1,6,WD,RL,140000
9248,Gilbert,1Story,6,1992,HdBoard,2,6,WD,RL,173000
7540,Mitchel,SFoyer,6,1978,VinylSd,2,5,WD,RL,156000
7301,Edwards,SFoyer,5,2003,HdBoard,2,7,ConLD,RL,198500
18800,NWAmes,2Story,5,1976,HdBoard,2,6,WD,RL,190000
9830,NAmes,1Story,7,1959,Wd Sdng,2,7,WD,RL,162000
7175,SawyerW,1Story,5,1984,Plywood,1,4,WD,RL,125000
10634,NAmes,1Story,6,1953,MetalSd,1,5,WD,RL,123000
8200,CollgCr,2Story,5,2003,VinylSd,2,8,WD,RL,219500
8846,CollgCr,SFoyer,5,1996,VinylSd,2,5,WD,RL,148000
11394,StoneBr,1Story,2,2010,VinylSd,3,8,New,RL,394432
5000,SWISU,1.5Fin,6,1924,BrkFace,1,6,WD,RL,127000
7200,Somerst,1Story,5,2006,VinylSd,2,5,New,FV,187750
9245,CollgCr,2Story,5,2006,VinylSd,2,8,WD,RL,213500
9000,SawyerW,1.5Unf,3,1928,Wd Sdng,2,5,WD,RH,76000
53107,ClearCr,2Story,5,1992,HdBoard,2,9,WD,RL,240000
3182,Blmngtn,1Story,5,2004,VinylSd,2,6,WD,RL,192000
12474,NridgHt,2Story,5,2007,VinylSd,3,9,New,RL,426000
8405,Edwards,1.5Fin,8,1900,MetalSd,1,7,WD,RL,119000
12209,Mitchel,2Story,5,2001,VinylSd,2,7,WD,RL,215000
7446,BrkSide,1Story,5,1941,WdShing,0,4,WD,RL,100000
10134,OldTown,1.5Fin,6,1940,MetalSd,1,5,WD,RL,109000
9571,Edwards,1Story,6,1956,Wd Sdng,1,6,WD,RL,129000
7200,CollgCr,1Story,5,1972,MetalSd,2,6,WD,RL,123000
7590,NAmes,2Story,5,1962,VinylSd,1,8,WD,RL,169500
8967,IDOTRR,1Story,2,1920,MetalSd,1,6,WD,RM,67000
8125,Somerst,2Story,5,2006,CemntBd,2,7,WD,FV,241000
10200,Sawyer,1Story,8,1940,Wd Sdng,1,4,WD,RL,108000
12090,NoRidge,2Story,5,1998,VinylSd,2,10,WD,RL,258000
10364,Gilbert,2Story,5,1995,MetalSd,2,7,WD,RL,168000
9991,Sawyer,1Story,4,1976,Plywood,2,8,WD,RL,150000
15576,Crawfor,2Story,7,1915,Wd Sdng,1,8,WD,RL,177000
14154,NridgHt,2Story,5,2006,VinylSd,3,9,New,RL,280000
10800,Somerst,2Story,5,2007,VinylSd,3,8,New,FV,339750
9571,Edwards,1Story,3,1958,BrkComm,1,5,COD,RL,60000
34650,Gilbert,1Story,5,1955,Wd Sdng,2,5,WD,RL,145000
4403,Somerst,1Story,5,2009,MetalSd,2,7,New,FV,222000
8960,OldTown,1Story,6,1927,WdShing,2,5,WD,RM,115000
8899,Gilbert,1Story,5,2007,VinylSd,2,6,New,RL,181134
22420,Crawfor,2Story,6,1918,Wd Sdng,3,10,WD,RL,239000
8160,Edwards,1.5Fin,6,1940,MetalSd,1,7,WD,RL,126000
8450,NAmes,1Story,6,1968,VinylSd,1,6,WD,RL,142000
7060,Mitchel,SFoyer,5,1997,VinylSd,4,8,WD,RM,206300
21750,Mitchel,1Story,5,1954,HdBoard,2,4,WD,RL,113000
9200,NoRidge,2Story,5,1998,VinylSd,3,8,WD,RL,315000
9000,NAmes,1Story,5,1956,Wd Sdng,1,6,WD,RL,139000
8593,NAmes,1Story,6,1957,MetalSd,1,5,WD,RL,109008
6762,CollgCr,1Story,5,2007,VinylSd,2,6,New,RL,195400
11457,Timber,1Story,5,1988,HdBoard,2,6,WD,RL,175000
1680,BrDale,2Story,5,1971,HdBoard,1,4,COD,RM,85400
5586,OldTown,1.5Fin,7,1920,MetalSd,0,7,ConLD,RM,79900
10839,Gilbert,2Story,5,1997,VinylSd,2,7,WD,RL,181000
1890,MeadowV,SFoyer,7,1972,CemntBd,0,3,WD,RM,81000
10667,CollgCr,2Story,6,1996,VinylSd,2,6,ConLw,RL,212000
6000,BrkSide,1.5Unf,7,1926,Wd Sdng,1,4,WD,RM,119000
12354,Edwards,1.5Fin,8,1920,Wd Sdng,2,7,ConLI,RL,110000
